Dataset,Avg CPU Usage (%),Avg Memory Usage (%),Avg Disk Utilization (%),Avg Throughput (kB/s)
brock400_4.clq,17.76,25.22,1.78,11.41
brock800_4.clq,17.48,25.22,1.79,11.42
